Absolute Percent Error by Segments,,,,,,,,,,,,
ForecastMethodology,FunctionalClass,count,mean,std,min,25%,50%,75%,max,,,
1-Traffic count trend,1-Interstate or Limited-access facility,45,19.68752055,13.59519124,1.257861635,8.59375,15.41353383,31.20112782,47.91666667,,,
,3-Principal Arterial,288,21.17162969,30.15102933,0,6.650595895,12.97335204,25.35787321,255.2941176,,,
,4-Minor Arterial,107,22.0646163,17.99895144,0,9.761904762,17.39130435,28.63636364,91.78082192,,,
,5-Major Collector,33,18.83340418,19.52668792,0,6.666666667,11.53846154,23.52941176,106.8965517,,,
,6-Minor Collector,7,23.77806907,19.26498323,2.222222222,6.34057971,26.95652174,36.53571429,51.51515152,,,
,7-Local,1,46.66666667,,46.66666667,46.66666667,46.66666667,46.66666667,46.66666667,,,
,8-Unknown Functional Class,2112,57.4931039,122.2594375,0,12.99559471,33.66750209,58.80978421,2142.424242,,,
2-Population growth rates,3-Principal Arterial,8,24.44590671,18.57752003,6.995884774,8.221052411,21.31979695,37.54465125,48.14814815,,,
,4-Minor Arterial,6,10.42827194,5.917214374,2.857142857,5.476190475,13.33333333,14.65408805,15.09433962,,,
4-Regional travel model,1-Interstate or Limited-access facility,19,9.498826984,8.678230085,0.35335689,3.235621279,7.395498392,13.43323192,27.86885246,,,
,3-Principal Arterial,362,22.64063608,18.95647161,0,9.983207838,18.35016835,29.8245614,91.66666667,,,
,4-Minor Arterial,85,17.19322424,19.33979425,0,5.485232068,13.29479769,21.66666667,146.6666667,,,
,5-Major Collector,26,24.13281765,22.38468881,0,7.247782705,15.66772655,43.46395881,85.86206897,,,
,6-Minor Collector,1,44.68085106,,44.68085106,44.68085106,44.68085106,44.68085106,44.68085106,,,
,8-Unknown Functional Class,39,21.07116131,12.81091304,1.123595506,11.12244898,20.83333333,29.75409836,44.92753623,,,
5-Professional judgement,1-Interstate or Limited-access facility,8,477.8645941,540.2117809,62.11453744,118.5701774,260.3862049,619.6806216,1328.571429,,,
,3-Principal Arterial,322,31.30541404,37.93593697,0.537634409,10.85972851,19.52123479,40.24011626,259.0909091,,,
,4-Minor Arterial,68,39.58502391,59.50960732,1.477832512,5.292479109,20.80434414,36.20689655,282.8125,,,
6-Unknown Methodology,1-Interstate or Limited-access facility,491,12.8589716,50.17043475,0,2.541977124,7.939824488,16.92720049,1096.781076,,,
,3-Principal Arterial,540,17.97805962,20.55751638,0,5.197124198,14.05702528,24.98389217,320.625,,,
,4-Minor Arterial,287,18.27198267,17.00790582,0,6.939415253,14.74654378,23.40316578,118.3622829,,,
,5-Major Collector,249,18.78898885,19.68963492,0,5.893813912,13.96984925,25.22359536,146.4646465,,,
,6-Minor Collector,14,19.71775141,10.36093247,4.277594975,9.721869445,20.35619204,28.38723528,34.97109827,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
