BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,Year,ActualCount,AdjustedForecast
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2007,237567-1,1,3,FL,No Tolls on 1+ lane,31700,2017,2,2007,5-Consultant,1-Traffic count trend,M.P 1.193 to Michigan Boulevard,"12-9025-237567-1-SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",1,12-24728-705149,2007,23500,705149,Florida,12-24728-705149,3-Principal Arterial,2018,NA,24250
"SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",2007,237567-1,1,3,FL,No Tolls on 1+ lane,39200,2027,3,2007,5-Consultant,1-Traffic count trend,M.P 1.193 to Michigan Boulevard,"12-9025-237567-1-SR 501 Resurfacing Project on SR 501 from CR 503 (M.P. 1.193) to the north of Otterbein Avenue
(M.P. 2.671)",1,12-24728-705149,2007,23500,705149,Florida,12-24728-705149,3-Principal Arterial,2028,NA,24300
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),2002,237576-1,4,3,FL,No Tolls on 1+ lane,56700,2007,1,2002,5-Consultant,1-Traffic count trend,M.P 16.269-M.P. 20622,12-9027-237576-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),1,12-24730-700169,2007,30500,700169,Florida,12-24730-700169,3-Principal Arterial,2009,30500,56700
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),2002,237576-1,4,3,FL,No Tolls on 1+ lane,67700,2017,2,2002,5-Consultant,1-Traffic count trend,M.P 16.269-M.P. 20622,12-9027-237576-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),1,12-24730-700169,2007,30500,700169,Florida,12-24730-700169,3-Principal Arterial,2019,NA,56750
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),2002,237576-1,4,3,FL,No Tolls on 1+ lane,78600,2027,3,2002,5-Consultant,1-Traffic count trend,M.P 16.269-M.P. 20622,12-9027-237576-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 16.269-M.P. 20622),1,12-24730-700169,2007,30500,700169,Florida,12-24730-700169,3-Principal Arterial,2029,NA,56700
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),2002,237592-1,4,3,FL,No Tolls on 1+ lane,43500,2007,1,2002,5-Consultant,4-Regional travel model,M.P 20.622 to M.P. 25.115,12-9028-237592-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),1,12-24731-705064,2007,37000,705064,Florida,12-24731-705064,3-Principal Arterial,2009,37000,43500
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),2002,237592-1,4,3,FL,No Tolls on 1+ lane,50000,2017,2,2002,5-Consultant,4-Regional travel model,M.P 20.622 to M.P. 25.115,12-9028-237592-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),1,12-24731-705064,2007,37000,705064,Florida,12-24731-705064,3-Principal Arterial,2019,NA,43400
Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),2002,237592-1,4,3,FL,No Tolls on 1+ lane,56700,2027,3,2002,5-Consultant,4-Regional travel model,M.P 20.622 to M.P. 25.115,12-9028-237592-1-Add lanes and Reconstruct Project for the SR 5/US 1 (M.P 20.622 to M.P. 25.115),1,12-24731-705064,2007,37000,705064,Florida,12-24731-705064,3-Principal Arterial,2029,NA,43500
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,34400,2015,1,2010,5-Consultant,4-Regional travel model,M.P. 22.135-M.P. 23.009,12-9030-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2,12-24733-705064,2015,27000,705064,Florida,12-24733-705064,3-Principal Arterial,2017,27000,34400
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,38500,2025,2,2010,5-Consultant,4-Regional travel model,M.P. 22.135-M.P. 23.009,12-9030-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2,12-24733-705064,2015,27000,705064,Florida,12-24733-705064,3-Principal Arterial,2027,NA,34500
Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2010,237592-2,4,3,FL,No Tolls on 1+ lane,42600,2035,3,2010,5-Consultant,4-Regional travel model,M.P. 22.135-M.P. 23.009,12-9030-237592-2-Add lanes and Reconstruct Project for the SR 5/US 2 (M.P. 21.351-M.P. 25.193),2,12-24733-705064,2015,27000,705064,Florida,12-24733-705064,3-Principal Arterial,2037,NA,34600
Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),2001,237629-1,2,3,FL,No Tolls on 1+ lane,48300,2002,1,2001,5-Consultant,4-Regional travel model,M.P. 3.990 to M.P. 4.100,12-9032-237629-1-Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),1,12-24735-705027,2002,52500,705027,Florida,12-24735-705027,3-Principal Arterial,2004,NA,48300
Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),2001,237629-1,2,3,FL,No Tolls on 1+ lane,53800,2012,2,2001,5-Consultant,4-Regional travel model,M.P. 3.990 to M.P. 4.100,12-9032-237629-1-Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),1,12-24735-705027,2002,52500,705027,Florida,12-24735-705027,3-Principal Arterial,2014,55000,48300
Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),2001,237629-1,2,3,FL,No Tolls on 1+ lane,59300,2022,3,2001,5-Consultant,4-Regional travel model,M.P. 3.990 to M.P. 4.100,12-9032-237629-1-Intersection Improvement of S.R. 5 (US 1) at S.R. 518 in Brevard County (M.P. 3.990 to M.P. 4.100),1,12-24735-705027,2002,52500,705027,Florida,12-24735-705027,3-Principal Arterial,2024,NA,48300
"The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2009,424886-1,1,3,FL,No Tolls on 1+ lane,56400,2011,1,2009,5-Consultant,5-Professional judgement,,"12-9109-424886-1-The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2,12-24808-705027,2011,57000,705027,Florida,12-24808-705027,3-Principal Arterial,2012,57000,56400
"The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2009,424886-1,1,3,FL,No Tolls on 1+ lane,61900,2021,2,2009,5-Consultant,5-Professional judgement,,"12-9109-424886-1-The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2,12-24808-705027,2011,57000,705027,Florida,12-24808-705027,3-Principal Arterial,2022,NA,58300
"The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2009,424886-1,1,3,FL,No Tolls on 1+ lane,67500,2031,3,2009,5-Consultant,5-Professional judgement,,"12-9109-424886-1-The SR 5 (US 1) resurfacing project from SR 500/US 192 (M.P. 0.000) to CR 511/Aurora
Rd. (M.P. 4.511)",2,12-24808-705027,2011,57000,705027,Florida,12-24808-705027,3-Principal Arterial,2032,NA,60300
From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),2001,237632-1,12,,FL,No Tolls on 1+ lane,19500,2004,1,2001,5-Consultant,,M.P. 2.949,12-9033-237632-1-From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),1,12-24736-705147,2004,14100,705147,Florida,12-24736-705147,3-Principal Arterial,2006,14100,19500
From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),2001,237632-1,12,,FL,No Tolls on 1+ lane,25800,2014,2,2001,5-Consultant,,M.P. 2.949,12-9033-237632-1-From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),1,12-24736-705147,2004,14100,705147,Florida,12-24736-705147,3-Principal Arterial,2016,13300,15250
From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),2001,237632-1,12,,FL,No Tolls on 1+ lane,40600,2024,3,2001,5-Consultant,,M.P. 2.949,12-9033-237632-1-From o.1 mile west of I-95 to S.R. 5(US 1) (M.P. 2.949),1,12-24736-705147,2004,14100,705147,Florida,12-24736-705147,3-Principal Arterial,2026,NA,19500
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,32300,2006,1,2002,5-Consultant,4-Regional travel model,CR 507,12-9034-237650-2-CR 507 and SR 507 Reconstruction Project,1,12-24737-705131,2006,32500,705131,Florida,12-24737-705131,3-Principal Arterial,2007,32500,32300
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,3900,2016,2,2002,5-Consultant,4-Regional travel model,CR 507,12-9034-237650-2-CR 507 and SR 507 Reconstruction Project,1,12-24737-705131,2006,32500,705131,Florida,12-24737-705131,3-Principal Arterial,2017,NA,-3450
CR 507 and SR 507 Reconstruction Project,2002,237650-2,1,3,FL,No Tolls on 1+ lane,47000,2026,3,2002,5-Consultant,4-Regional travel model,CR 507,12-9034-237650-2-CR 507 and SR 507 Reconstruction Project,1,12-24737-705131,2006,32500,705131,Florida,12-24737-705131,3-Principal Arterial,2027,NA,32300
"The SR 507 ? Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",2006,237650-3,4,3,FL,No Tolls on 1+ lane,36600,2011,1,2006,5-Consultant,4-Regional travel model,M.P. 0.000 to M.P. 1.700,"12-9036-237650-3-The SR 507 ? Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",1,12-24739-700345,2011,28100,700345,Florida,12-24739-700345,3-Principal Arterial,2013,28100,36600
"The SR 507 ? Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",2006,237650-3,4,3,FL,No Tolls on 1+ lane,45100,2021,2,2006,5-Consultant,4-Regional travel model,M.P. 0.000 to M.P. 1.700,"12-9036-237650-3-The SR 507 ? Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",1,12-24739-700345,2011,28100,700345,Florida,12-24739-700345,3-Principal Arterial,2023,NA,36600
"The SR 507 ? Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",2006,237650-3,4,3,FL,No Tolls on 1+ lane,53600,2031,3,2006,5-Consultant,4-Regional travel model,M.P. 0.000 to M.P. 1.700,"12-9036-237650-3-The SR 507 ? Add Lanes and Reconstruct Project from SR 514 (M.P. 0.000) to Intersection
Reconstruction (M.P. 0.170)",1,12-24739-700345,2011,28100,700345,Florida,12-24739-700345,3-Principal Arterial,2033,NA,36600
"The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",2007,421991-1,1,3,FL,No Tolls on 1+ lane,45000,2010,1,2007,5-Consultant,5-Professional judgement,MP 0 to MO 2.270,"12-9177-421991-1-The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",1,12-24872-700345,2010,28881,700345,Florida,12-24872-700345,3-Principal Arterial,2011,28881,45000
"The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",2007,421991-1,1,3,FL,No Tolls on 1+ lane,52300,2020,2,2007,5-Consultant,5-Professional judgement,MP 0 to MO 2.270,"12-9177-421991-1-The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",1,12-24872-700345,2010,28881,700345,Florida,12-24872-700345,3-Principal Arterial,2021,NA,45050
"The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",2007,421991-1,1,3,FL,No Tolls on 1+ lane,59500,2030,3,2007,5-Consultant,5-Professional judgement,MP 0 to MO 2.270,"12-9177-421991-1-The SR 507 Resurfacing Project from Malabar Boulevard (M.P. 0.000) to CR 516 (Palm Bay Road)
(M.P. 2.270).",1,12-24872-700345,2010,28881,700345,Florida,12-24872-700345,3-Principal Arterial,2031,NA,45000
"Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",2004,237965-1,4,1,FL,No Tolls on 1+ lane,9800,2006,1,2004,5-Consultant,4-Regional travel model,(M.P. 0.000) to (M.P. 2.188),"12-9037-237965-1-Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",1,12-24740-735003,2006,14900,735003,Florida,12-24740-735003,3-Principal Arterial,2008,14900,9800
"Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",2004,237965-1,4,1,FL,No Tolls on 1+ lane,13000,2016,2,2004,5-Consultant,4-Regional travel model,(M.P. 0.000) to (M.P. 2.188),"12-9037-237965-1-Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",1,12-24740-735003,2006,14900,735003,Florida,12-24740-735003,3-Principal Arterial,2018,NA,9800
"Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",2004,237965-1,4,1,FL,No Tolls on 1+ lane,16200,2026,3,2004,5-Consultant,4-Regional travel model,(M.P. 0.000) to (M.P. 2.188),"12-9037-237965-1-Add Lanes and Reconstruction Project on SR 100 from SR 5/US 1 (M.P. 0.000) to 0.10 Mi. west of
Belle Terre Pkwy (M.P. 2.188).",1,12-24740-735003,2006,14900,735003,Florida,12-24740-735003,3-Principal Arterial,2028,NA,9800
"SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",2007,422001-1,1,1,FL,No Tolls on 1+ lane,15100,2010,1,2007,5-Consultant,1-Traffic count trend,MP 9.657 to MP 10.890,"12-9176-422001-1-SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",1,12-24871-735003,2010,12900,735003,Florida,12-24871-735003,3-Principal Arterial,2011,12900,15100
"SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",2007,422001-1,1,1,FL,No Tolls on 1+ lane,20700,2020,2,2007,5-Consultant,1-Traffic count trend,MP 9.657 to MP 10.890,"12-9176-422001-1-SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",1,12-24871-735003,2010,12900,735003,Florida,12-24871-735003,3-Principal Arterial,2021,NA,15100
"SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",2007,422001-1,1,1,FL,No Tolls on 1+ lane,26300,2030,3,2007,5-Consultant,1-Traffic count trend,MP 9.657 to MP 10.890,"12-9176-422001-1-SR 5 Resurfacing Project from 132 Feet south of Hibiscus Avenue (M.P. 9.657) to 142
Feet north of Woodland Avenue (M.P. 10.890",1,12-24871-735003,2010,12900,735003,Florida,12-24871-735003,3-Principal Arterial,2031,NA,15100
Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),2005,411256-3,4,1,FL,No Tolls on 1+ lane,13300,2009,1,2005,5-Consultant,1-Traffic count trend,SR 35,12-9038-411256-3-Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),1,12-24741-361009,2009,14100,361009,Florida,12-24741-361009,3-Principal Arterial,2011,14100,13300
Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),2005,411256-3,4,1,FL,No Tolls on 1+ lane,17800,2019,2,2005,5-Consultant,1-Traffic count trend,SR 35,12-9038-411256-3-Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),1,12-24741-361009,2009,14100,361009,Florida,12-24741-361009,3-Principal Arterial,2021,NA,13300
Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),2005,411256-3,4,1,FL,No Tolls on 1+ lane,22300,2029,3,2005,5-Consultant,1-Traffic count trend,SR 35,12-9038-411256-3-Add lanes and Reconstruction Project on SR 35 (M.P 0.000 to M.P. 1.207),1,12-24741-361009,2009,14100,361009,Florida,12-24741-361009,3-Principal Arterial,2031,NA,13300
Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),2006,411256-4,4,1,FL,No Tolls on 1+ lane,13600,2011,1,2006,5-Consultant,1-Traffic count trend,SR 35,12-9039-411256-4-Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),1,12-24742-361007,2011,12200,361007,Florida,12-24742-361007,3-Principal Arterial,2013,12200,13600
Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),2006,411256-4,4,1,FL,No Tolls on 1+ lane,18000,2021,2,2006,5-Consultant,1-Traffic count trend,SR 35,12-9039-411256-4-Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),1,12-24742-361007,2011,12200,361007,Florida,12-24742-361007,3-Principal Arterial,2023,NA,13600
Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),2006,411256-4,4,1,FL,No Tolls on 1+ lane,22400,2031,3,2006,5-Consultant,1-Traffic count trend,SR 35,12-9039-411256-4-Add lanes and reconstruction Project on SR 35 (from north of CR 42 (M.P. 1.723) to beginning of 4 lanes (M.P. 3.887),1,12-24742-361007,2011,12200,361007,Florida,12-24742-361007,3-Principal Arterial,2033,NA,13600
"The SR 35 Resurfacing Project from the Sumter County Line (M.P. 0.000) to SR 500/US 441 (M.P.
6.866).",2006,419557-1,1,3,FL,No Tolls on 1+ lane,12700,2008,1,2006,5-Consultant,1-Traffic count trend,,"12-9213-419557-1-The SR 35 Resurfacing Project from the Sumter County Line (M.P. 0.000) to SR 500/US 441 (M.P.
6.866).",1,12-24907-361007,2008,11600,361007,Florida,12-24907-361007,3-Principal Arterial,2009,11600,12700
"The SR 35 Resurfacing Project from the Sumter County Line (M.P. 0.000) to SR 500/US 441 (M.P.
6.866).",2006,419557-1,1,3,FL,No Tolls on 1+ lane,19100,2018,2,2006,5-Consultant,1-Traffic count trend,,"12-9213-419557-1-The SR 35 Resurfacing Project from the Sumter County Line (M.P. 0.000) to SR 500/US 441 (M.P.
6.866).",1,12-24907-361007,2008,11600,361007,Florida,12-24907-361007,3-Principal Arterial,2019,NA,12700
"The SR 35 Resurfacing Project from the Sumter County Line (M.P. 0.000) to SR 500/US 441 (M.P.
6.866).",2006,419557-1,1,3,FL,No Tolls on 1+ lane,25500,2028,3,2006,5-Consultant,1-Traffic count trend,,"12-9213-419557-1-The SR 35 Resurfacing Project from the Sumter County Line (M.P. 0.000) to SR 500/US 441 (M.P.
6.866).",1,12-24907-361007,2008,11600,361007,Florida,12-24907-361007,3-Principal Arterial,2029,NA,12700
Add lanes and reconstruction Project on SR 35 (from Lion St (M.P. 24.033) to 0.66 Miles South of CR 466 (M.P. 27.239),2006,411257-3,4,3,FL,No Tolls on 1+ lane,16500,2009,1,2006,5-Consultant,5-Professional judgement,,12-9040-411257-3-Add lanes and reconstruction Project on SR 35 (from Lion St (M.P. 24.033) to 0.66 Miles South of CR 466 (M.P. 27.239),1,12-24743-180002,2009,14500,180002,Florida,12-24743-180002,3-Principal Arterial,2011,14500,16500
Add lanes and reconstruction Project on SR 35 (from Lion St (M.P. 24.033) to 0.66 Miles South of CR 466 (M.P. 27.239),2006,411257-3,4,3,FL,No Tolls on 1+ lane,22300,2019,2,2006,5-Consultant,5-Professional judgement,,12-9040-411257-3-Add lanes and reconstruction Project on SR 35 (from Lion St (M.P. 24.033) to 0.66 Miles South of CR 466 (M.P. 27.239),1,12-24743-180002,2009,14500,180002,Florida,12-24743-180002,3-Principal Arterial,2021,NA,16450
Add lanes and reconstruction Project on SR 35 (from Lion St (M.P. 24.033) to 0.66 Miles South of CR 466 (M.P. 27.239),2006,411257-3,4,3,FL,No Tolls on 1+ lane,28200,2029,3,2006,5-Consultant,5-Professional judgement,,12-9040-411257-3-Add lanes and reconstruction Project on SR 35 (from Lion St (M.P. 24.033) to 0.66 Miles South of CR 466 (M.P. 27.239),1,12-24743-180002,2009,14500,180002,Florida,12-24743-180002,3-Principal Arterial,2031,NA,16500
"The SR 35 ? Traffic Signals Projec from 0.100 miles south of CR 462 East (M.P. 24.871) to CR 462 East
(M.P. 24.971).",2005,416935-1,2,4,FL,No Tolls on 1+ lane,4250,2008,1,2005,5-Consultant,1-Traffic count trend,,"12-9234-416935-1-The SR 35 ? Traffic Signals Projec from 0.100 miles south of CR 462 East (M.P. 24.871) to CR 462 East
(M.P. 24.971).",1,12-24927-180002,2008,15100,180002,Florida,12-24927-180002,3-Principal Arterial,2010,15100,4250
