,BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast
0,,2006.0,2320,,3.0,WI,No Tolls on 1+ lane,34000,2007.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6302-2320-,,58-22417-401399,2007.0,31500.0,401399.0,Wisconsin,58-22417-401399,3-Principal Arterial,34000.0
1,,2007.0,2467,,3.0,WI,No Tolls on 1+ lane,30000,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6303-2467-,,58-22419-404512,2011.0,22200.0,404512.0,Wisconsin,58-22419-404512,3-Principal Arterial,30000.0
2,,2007.0,2467,,3.0,WI,No Tolls on 1+ lane,19000,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6304-2467-,,58-22421-404513,2011.0,20100.0,404513.0,Wisconsin,58-22421-404513,3-Principal Arterial,19000.0
3,,2007.0,2467,,3.0,WI,No Tolls on 1+ lane,21900,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6305-2467-,,58-22423-404524,2011.0,18400.0,404524.0,Wisconsin,58-22423-404524,4-Minor Arterial,21900.0
4,,2006.0,2322,,3.0,WI,No Tolls on 1+ lane,22700,2009.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6306-2322-,,58-22425-401843,2009.0,22600.0,401843.0,Wisconsin,58-22425-401843,3-Principal Arterial,22700.0
5,,2007.0,2467,,3.0,WI,No Tolls on 1+ lane,2800,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6307-2467-,,58-22427-404541,2011.0,2500.0,404541.0,Wisconsin,58-22427-404541,5-Major Collector,2800.0
6,,2007.0,2467,,3.0,WI,No Tolls on 1+ lane,33500,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6308-2467-,,58-22429-404545,2011.0,33500.0,404545.0,Wisconsin,58-22429-404545,3-Principal Arterial,33500.0
7,,2007.0,2467,,3.0,WI,No Tolls on 1+ lane,1500,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6309-2467-,,58-22431-404547,2011.0,2200.0,404547.0,Wisconsin,58-22431-404547,7-Local,1500.0
8,,2007.0,2467,,3.0,WI,No Tolls on 1+ lane,23800,2011.0,1.0,2007.0,1-State DOT,1-Traffic count trend,,58-6310-2467-,,58-22433-404548,2011.0,25400.0,404548.0,Wisconsin,58-22433-404548,3-Principal Arterial,23800.0
9,,2006.0,2373,,1.0,WI,No Tolls on 1+ lane,8600,2008.0,1.0,2006.0,1-State DOT,1-Traffic count trend,,58-6311-2373-,,58-22435-510108,2008.0,6600.0,510108.0,Wisconsin,58-22435-510108,3-Principal Arterial,8600.0
