BriefDescription,County,ForecastMethodology,ForecastYear,ForecastYearType,FunctionalClass,ImprovementType,InternalProjectID,Length_miles,SegmentDescription,SegmentID,State,TollType,TrafficForecast,YearForecastProduced,Year_ofObservation,Count,main_ProjectInformation_ProjectID,main_TrafficForecast_ProjectID,AdjustedForecast,n,Error,PercentError,AbsPE
,Washington,1.00,2010,1,3,12,1663,,,,58,1,5300,2007,2010,3700,58-6231-1663-,6231,5300,5,-1600,-30.18867925,30.18867925
,Washington,1.00,2010,1,3,12,1663,,,,58,1,7400,2007,2010,5500,58-6232-1663-,6232,7400,5,-1900,-25.67567568,25.67567568
,Washington,1.00,2010,1,3,12,1663,,,,58,1,4150,2007,2010,2800,58-6233-1663-,6233,4150,5,-1350,-32.53012048,32.53012048
,Washington,1.00,2010,1,3,12,1663,,,,58,1,3700,2007,2010,2500,58-6234-1663-,6234,3700,5,-1200,-32.43243243,32.43243243
,Washington,1.00,2010,1,3,12,1663,,,,58,1,4500,2007,2010,3500,58-6235-1663-,6235,4500,5,-1000,-22.22222222,22.22222222
,Washington,1.00,2007,1,4,12,2015,,,,58,1,18800,2005,2007,14000,58-6236-2015-,6236,18800,3,-4800,-25.53191489,25.53191489
,Washington,1.00,2007,1,4,12,2015,,,,58,1,18200,2005,2007,14700,58-6237-2015-,6237,18200,3,-3500,-19.23076923,19.23076923
,Washington,1.00,2007,1,4,12,2015,,,,58,1,19600,2005,2007,16900,58-6238-2015-,6238,19600,3,-2700,-13.7755102,13.7755102
,Washington,1.00,2007,1,0,12,2126,,,,58,1,1300,2006,2007,1900,58-6239-2126-,6239,1300,10,600,46.15384615,46.15384615
,Washington,1.00,2007,1,3,12,2126,,,,58,1,4500,2006,2007,5100,58-6241-2126-,6241,4500,10,600,13.33333333,13.33333333
,Washington,1.00,2007,1,0,12,2126,,,,58,1,1600,2006,2007,1800,58-6242-2126-,6242,1600,10,200,12.5,12.5
,Washington,1.00,2007,1,0,12,2126,,,,58,1,1700,2006,2007,1900,58-6243-2126-,6243,1700,10,200,11.76470588,11.76470588
,Washington,1.00,2007,1,0,12,2126,,,,58,1,1800,2006,2007,2000,58-6244-2126-,6244,1800,10,200,11.11111111,11.11111111
,Washington,1.00,2007,1,3,12,2126,,,,58,1,6400,2006,2007,6700,58-6245-2126-,6245,6400,10,300,4.6875,4.6875
,Washington,1.00,2007,1,0,12,2126,,,,58,1,1800,2006,2007,1700,58-6246-2126-,6246,1800,10,-100,-5.555555556,5.555555556
,Washington,1.00,2007,1,0,12,2126,,,,58,1,1800,2006,2007,1900,58-6247-2126-,6247,1800,10,100,5.555555556,5.555555556
,Washington,1.00,2007,1,0,12,2126,,,,58,1,1700,2006,2007,1700,58-6248-2126-,6248,1700,10,0,0,0
