BriefDescription,ProjectYear,InternalProjectID,ImprovementType,AreaTypeFuncClass,main_ProjectInformation.State,TollType,TrafficForecast,ForecastYear,ForecastYearType,YearForecastProduced,ForecastingAgency,ForecastMethodology,SegmentDescription,ProjectID,SegmentID,CountID,Year_ofObservation,Count,Station_Identifier,main_TrafficCounts.State,CounterID,FunctionalClass,AdjustedForecast,Error,PercentError,AbsPE,Comments
,2006,2320,12,3,WI,No Tolls on 1+ lane,34000,2007,1,2006,1-State DOT,1,,58-6302-2320-,,58-22417-401399,2007,31500,401399,Wisconsin,58-22417-401399,3,34000,2500,7.352941176,7.352941176,
,2007,2467,12,3,WI,No Tolls on 1+ lane,30000,2011,1,2007,1-State DOT,1,,58-6303-2467-,,58-22419-404512,2011,22200,404512,Wisconsin,58-22419-404512,3,30000,7800,26,26,
,2007,2467,12,3,WI,No Tolls on 1+ lane,19000,2011,1,2007,1-State DOT,1,,58-6304-2467-,,58-22421-404513,2011,20100,404513,Wisconsin,58-22421-404513,3,19000,-1100,-5.789473684,5.789473684,
,2007,2467,12,3,WI,No Tolls on 1+ lane,21900,2011,1,2007,1-State DOT,1,,58-6305-2467-,,58-22423-404524,2011,18400,404524,Wisconsin,58-22423-404524,4,21900,3500,15.98173516,15.98173516,
,2006,2322,12,3,WI,No Tolls on 1+ lane,22700,2009,1,2006,1-State DOT,1,,58-6306-2322-,,58-22425-401843,2009,22600,401843,Wisconsin,58-22425-401843,3,22700,100,0.440528634,0.440528634,
,2007,2467,12,3,WI,No Tolls on 1+ lane,2800,2011,1,2007,1-State DOT,1,,58-6307-2467-,,58-22427-404541,2011,2500,404541,Wisconsin,58-22427-404541,5,2800,300,10.71428571,10.71428571,
,2007,2467,12,3,WI,No Tolls on 1+ lane,33500,2011,1,2007,1-State DOT,1,,58-6308-2467-,,58-22429-404545,2011,33500,404545,Wisconsin,58-22429-404545,3,33500,0,0,0,
,2007,2467,12,3,WI,No Tolls on 1+ lane,1500,2011,1,2007,1-State DOT,1,,58-6309-2467-,,58-22431-404547,2011,2200,404547,Wisconsin,58-22431-404547,7,1500,-700,-46.66666667,46.66666667,
,2007,2467,12,3,WI,No Tolls on 1+ lane,23800,2011,1,2007,1-State DOT,1,,58-6310-2467-,,58-22433-404548,2011,25400,404548,Wisconsin,58-22433-404548,3,23800,-1600,-6.722689076,6.722689076,
,2006,2373,12,1,WI,No Tolls on 1+ lane,8600,2008,1,2006,1-State DOT,1,,58-6311-2373-,,58-22435-510108,2008,6600,510108,Wisconsin,58-22435-510108,3,8600,2000,23.25581395,23.25581395,
,2006,2359,12,3,WI,No Tolls on 1+ lane,13600,2008,1,2006,1-State DOT,1,,58-6312-2359-,,58-22437-510817,2008,12300,510817,Wisconsin,58-22437-510817,3,13600,1300,9.558823529,9.558823529,
,2006,2217,12,3,WI,No Tolls on 1+ lane,6900,2008,1,2006,1-State DOT,1,,58-6313-2217-,,58-22439-510361,2008,6200,510361,Wisconsin,58-22439-510361,3,6900,700,10.14492754,10.14492754,
,2008,2690,12,3,WI,No Tolls on 1+ lane,18500,2008,1,2008,1-State DOT,1,,58-6314-2690-,,58-22441-510501,2008,19600,510501,Wisconsin,58-22441-510501,3,18500,-1100,-5.945945946,5.945945946,
,2006,2359,12,3,WI,No Tolls on 1+ lane,7600,2008,1,2006,1-State DOT,1,,58-6315-2359-,,58-22443-511191,2008,8200,511191,Wisconsin,58-22443-511191,3,7600,-600,-7.894736842,7.894736842,
,2006,2217,12,3,WI,No Tolls on 1+ lane,5600,2008,1,2006,1-State DOT,1,,58-6316-2217-,,58-22445-510362,2008,5200,510362,Wisconsin,58-22445-510362,3,5600,400,7.142857143,7.142857143,
,2006,2359,12,3,WI,No Tolls on 1+ lane,7100,2008,1,2006,1-State DOT,1,,58-6317-2359-,,58-22447-510234,2008,7000,510234,Wisconsin,58-22447-510234,3,7100,100,1.408450704,1.408450704,
,2006,2373,12,1,WI,No Tolls on 1+ lane,8800,2008,1,2006,1-State DOT,1,,58-6318-2373-,,58-22449-510862,2008,8800,510862,Wisconsin,58-22449-510862,3,8800,0,0,0,
,2007,2545,12,3,WI,No Tolls on 1+ lane,2100,2008,1,2007,1-State DOT,1,,58-6319-2545-,,58-22451-300882,2008,2600,300882,Wisconsin,58-22451-300882,5,2100,-500,-23.80952381,23.80952381,
,2007,2545,12,3,WI,No Tolls on 1+ lane,4250,2008,1,2007,1-State DOT,1,,58-6320-2545-,,58-22453-300739,2008,4500,300739,Wisconsin,58-22453-300739,5,4250,-250,-5.882352941,5.882352941,
,2007,2545,12,3,WI,No Tolls on 1+ lane,7300,2008,1,2007,1-State DOT,1,,58-6321-2545-,,58-22455-300472,2008,7100,300472,Wisconsin,58-22455-300472,4,7300,200,2.739726027,2.739726027,
,2007,2533,12,3,WI,No Tolls on 1+ lane,7900,2009,1,2007,1-State DOT,1,,58-6322-2533-,,58-22457-640485,2009,4300,640485,Wisconsin,58-22457-640485,4,7900,3600,45.56962025,45.56962025,
,2007,2533,12,3,WI,No Tolls on 1+ lane,7100,2009,1,2007,1-State DOT,1,,58-6323-2533-,,58-22459-640475,2009,5400,640475,Wisconsin,58-22459-640475,3,7100,1700,23.94366197,23.94366197,
,2007,2533,12,3,WI,No Tolls on 1+ lane,6700,2009,1,2007,1-State DOT,1,,58-6324-2533-,,58-22461-640466,2009,5300,640466,Wisconsin,58-22461-640466,3,6700,1400,20.89552239,20.89552239,
,2007,2533,12,3,WI,No Tolls on 1+ lane,8100,2009,1,2007,1-State DOT,1,,58-6325-2533-,,58-22463-641025,2009,9800,641025,Wisconsin,58-22463-641025,4,8100,-1700,-20.98765432,20.98765432,
,2007,2533,12,3,WI,No Tolls on 1+ lane,8800,2009,1,2007,1-State DOT,1,,58-6326-2533-,,58-22465-640484,2009,7300,640484,Wisconsin,58-22465-640484,4,8800,1500,17.04545455,17.04545455,
,2007,2533,12,1,WI,No Tolls on 1+ lane,21100,2009,1,2007,1-State DOT,1,,58-6327-2533-,,58-22467-649003,2009,19200,649003,Wisconsin,58-22467-649003,1,21100,1900,9.004739336,9.004739336,
,2007,2533,12,3,WI,No Tolls on 1+ lane,6200,2009,1,2007,1-State DOT,1,,58-6328-2533-,,58-22469-640483,2009,5400,640483,Wisconsin,58-22469-640483,3,6200,800,12.90322581,12.90322581,
,2007,2533,12,1,WI,No Tolls on 1+ lane,25200,2009,1,2007,1-State DOT,1,,58-6329-2533-,,58-22471-649002,2009,23600,649002,Wisconsin,58-22471-649002,1,25200,1600,6.349206349,6.349206349,
,2007,2533,12,1,WI,No Tolls on 1+ lane,4400,2009,1,2007,1-State DOT,1,,58-6330-2533-,,58-22473-640804,2009,5100,640804,Wisconsin,58-22473-640804,3,4400,-700,-15.90909091,15.90909091,
,2007,2533,12,3,WI,No Tolls on 1+ lane,13700,2009,1,2007,1-State DOT,1,,58-6331-2533-,,58-22475-640805,2009,14900,640805,Wisconsin,58-22475-640805,3,13700,-1200,-8.759124088,8.759124088,
,2007,2533,12,3,WI,No Tolls on 1+ lane,3300,2009,1,2007,1-State DOT,1,,58-6332-2533-,,58-22477-640184,2009,3900,640184,Wisconsin,58-22477-640184,5,3300,-600,-18.18181818,18.18181818,
,2007,2533,12,3,WI,No Tolls on 1+ lane,8000,2009,1,2007,1-State DOT,1,,58-6333-2533-,,58-22479-640487,2009,8900,640487,Wisconsin,58-22479-640487,3,8000,-900,-11.25,11.25,
,2007,2533,12,3,WI,No Tolls on 1+ lane,4000,2009,1,2007,1-State DOT,1,,58-6334-2533-,,58-22481-640471,2009,3600,640471,Wisconsin,58-22481-640471,4,4000,400,10,10,
,2007,2533,12,3,WI,No Tolls on 1+ lane,1800,2009,1,2007,1-State DOT,1,,58-6335-2533-,,58-22483-643773,2009,1600,643773,Wisconsin,58-22483-643773,8,1800,200,11.11111111,11.11111111,
,2007,2533,12,3,WI,No Tolls on 1+ lane,1800,2009,1,2007,1-State DOT,1,,58-6336-2533-,,58-22485-640193,2009,2000,640193,Wisconsin,58-22485-640193,5,1800,-200,-11.11111111,11.11111111,
,2007,2533,12,3,WI,No Tolls on 1+ lane,9800,2009,1,2007,1-State DOT,1,,58-6337-2533-,,58-22487-640490,2009,9500,640490,Wisconsin,58-22487-640490,3,9800,300,3.06122449,3.06122449,
,2007,2533,12,3,WI,No Tolls on 1+ lane,1500,2009,1,2007,1-State DOT,1,,58-6338-2533-,,58-22489-643774,2009,1600,643774,Wisconsin,58-22489-643774,8,1500,-100,-6.666666667,6.666666667,
,2007,2533,12,3,WI,No Tolls on 1+ lane,790,2009,1,2007,1-State DOT,1,,58-6339-2533-,,58-22491-643771,2009,850,643771,Wisconsin,58-22491-643771,8,790,-60,-7.594936709,7.594936709,
,2007,2533,12,3,WI,No Tolls on 1+ lane,10300,2009,1,2007,1-State DOT,1,,58-6340-2533-,,58-22493-640493,2009,10400,640493,Wisconsin,58-22493-640493,3,10300,-100,-0.970873786,0.970873786,
,2007,2533,12,3,WI,No Tolls on 1+ lane,1100,2009,1,2007,1-State DOT,1,,58-6341-2533-,,58-22495-643772,2009,1100,643772,Wisconsin,58-22495-643772,8,1100,0,0,0,
,2008,2737,12,3,WI,No Tolls on 1+ lane,3600,2009,1,2008,1-State DOT,1,,58-6342-2737-,,58-22497-20313,2009,3000,20313,Wisconsin,58-22497-20313,4,3600,600,16.66666667,16.66666667,
,2007,2159,12,3,WI,No Tolls on 1+ lane,15300,2011,1,2007,1-State DOT,1,,58-6343-2159-,,58-22499-30535,2011,10100,30535,Wisconsin,58-22499-30535,3,15300,5200,33.9869281,33.9869281,
,2007,2159,12,1,WI,No Tolls on 1+ lane,11000,2011,1,2007,1-State DOT,1,,58-6344-2159-,,58-22501-30226,2011,7500,30226,Wisconsin,58-22501-30226,3,11000,3500,31.81818182,31.81818182,
,2007,2159,12,1,WI,No Tolls on 1+ lane,11300,2011,1,2007,1-State DOT,1,,58-6345-2159-,,58-22503-30103,2011,8100,30103,Wisconsin,58-22503-30103,3,11300,3200,28.31858407,28.31858407,
,2007,2159,12,1,WI,No Tolls on 1+ lane,11100,2011,1,2007,1-State DOT,1,,58-6346-2159-,,58-22505-30543,2011,8500,30543,Wisconsin,58-22505-30543,3,11100,2600,23.42342342,23.42342342,
,2007,2159,12,3,WI,No Tolls on 1+ lane,900,2011,1,2007,1-State DOT,1,,58-6347-2159-,,58-22507-30376,2011,1000,30376,Wisconsin,58-22507-30376,5,900,-100,-11.11111111,11.11111111,
