TrafficForecast,count,mean,std,min,25%,50%,75%,max,LowerLimit,UpperLimit
"(0, 10000]",1460.0,48.2075747416301,140.62772127345113,0.0,8.108108108,18.51851852,38.7248613175,2142.424242,42.15332385675904,54.26182562650116
"(10000, 20000]",1113.0,34.86895445965416,63.801588667219534,0.0,8.146067416000001,18.49315068,39.64497041,1096.781076,31.72301896859006,38.01488995071826
"(20000, 30000]",766.0,35.26165614003263,41.885315263659045,0.0,9.7494937045,21.60502916,45.28351112749999,258.3535109,32.77214940166569,37.75116287839956
"(30000, 40000]",440.0,29.634178509011335,27.693087038304235,0.0,8.949836325749999,19.691357179999997,45.1944775275,132.3943662,27.4624229857103,31.80593403231237
"(40000, 50000]",304.0,25.6337301502796,24.108895356970326,0.002352443,7.10179796,17.64705882,36.14457831,96.3190184,23.35912288271574,27.90833741784346
"(50000, 60000]",200.0,20.73288928033,18.203879367459958,0.0,4.16284437425,14.229821965,37.138838245,64.77272727,18.6154310437379,22.8503475169221
"(60000, 70000]",91.0,14.935174603747248,18.885863202173265,0.004371585,2.23263971,9.814802282999999,20.74935129,124.77744809999999,11.678442421923826,18.19190678557067
"(70000, 80000]",55.0,8.87416593009091,8.885316061978862,0.001599718,2.470558205,5.433287482999999,17.24137931,39.355742299999996,6.903298382871406,10.845033477310414
"(80000, 90000]",44.0,12.80992976375,8.861810626020157,0.00129234,5.372228569500001,12.53270355,19.33638444,30.71371291,10.612262044116111,15.00759748338389
"(90000, 100000]",28.0,15.758892232535715,10.350850384270986,1.00769986,5.99748021625,15.164477,25.06485084,35.42081325,12.541063555494555,18.976720909576876
"(100000, 180000]",109.0,12.79825308299083,13.087126687154083,0.004011071,4.338497118,9.78436373,17.02329857,66.27647715,10.736213680029378,14.86029248595228
