PID,County,Rte,Log,FUN CLASS,Project Description,Project Type,Who,Year Forecast Made,"Forecast 
Method",Opening Year,OY ADT Forecast,Design Year,DY ADT Forecast,Notes,Near Actual Open Year,Near Open Yr Count,Recent Cnt Yr or Near DY,Recent or Near DY Count,Revised Design Year Reg.,Adj Rev DY Reg.,Physical Work Complete Date,,Methodology,State,Count Units,Toll Type,CLASS-from Func(check previous excel),Functional Class,Improment Type
11378,RIC,71,19.08,1,IR71/US 30 interchange Modification,interchange Modification,,1994,RC,2000,37190,2020,45190,gtg guesses on method since not documented,2000,42310,2008,39760,51584,48256,10/31/2005,6/27/1905,6,41,1,1,,1,11
11378,RIC,30,17.2,2,IR71/US 30 interchange Modification,interchange Modification,,1994,RC,2000,12920,2020,17390,gtg guesses on method since not documented,2000,15780,2008,15630,19020,18642,10/31/2005,,6,41,1,1,,3,11
11378,RIC,71,18.78,11,IR71/US 30 interchange Modification,interchange Modification,,1994,RC,2000,37820,2020,46060,gtg guesses on method since not documented,2000,42450,2008,39290,51133,47815,10/31/2005,,6,41,1,1,,1,11
11378,RIC,30,16.87,12,IR71/US 30 interchange Modification,interchange Modification,,1994,RC,2000,16430,2020,22090,gtg guesses on method since not documented,2000,16530,2008,18210,20068,20818,10/31/2005,,6,41,1,1,,1,11
19055,TUS,36,15.73,14,TUS-0036-15.730,,US,1999,RC,2000,8990,2020,11530,,2000,9100,2010,8960,11425,10434,6/11/2001,,6,41,1,1,,3,12
11385,LOR,90,13.00,11,LOR-0090-13.20,,US,2000,MR,2002,70120,2022,94850,,2002,62330,2008,59970,81419,75477,12/5/2003,,6,41,1,1,,1,12
11385,LOR,90,13.20,11,LOR-0090-13.20,,US,2000,MR,2002,53040,2022,76040,,2002,51440,2008,52020,70173,66540,12/5/2003,,6,41,1,1,,1,12
11385,LOR,90,15.65,11,LOR-0090-13.20,,US,2000,MR,2002,51350,2022,73820,,2002,50470,2008,53590,69205,67511,12/5/2003,,6,41,1,1,,1,12
11385,LOR,57,20.06,14,LOR-0090-13.20,,US,2000,MR,2002,29990,2022,32960,,2002,33180,2008,45300,43224,48232,12/5/2003,,6,41,1,1,,3,12
11385,LOR,57,20.33,16,LOR-0090-13.20,,US,2000,MR,2002,23090,2022,24320,,2002,21910,2008,18020,21655,19410,12/5/2003,,6,41,1,1,,4,12
11385,LOR,254,1.14,16,LOR-0090-13.20,,US,2000,MR,2002,22700,2022,20570,,2002,17830,2008,16280,20941,20004,12/5/2003,,6,41,1,1,,4,12
11385,LOR,254,1.91,16,LOR-0090-13.20,,US,2000,MR,2002,25670,2022,33470,,2002,27280,2008,27460,37046,35565,12/5/2003,,6,41,1,1,,4,12
11385,LOR,254,2.28,16,LOR-0090-13.20,,US,2000,MR,2002,7890,2022,9590,,2002,9880,2008,10410,12705,12783,12/5/2003,,6,41,1,1,,4,12
11385,LOR,301,21.80,16,LOR-0090-13.20,,US,2000,MR,2002,19610,2022,26260,,2002,22630,2008,24350,30778,30702,12/5/2003,,6,41,1,1,,4,12
11385,LOR,301,22.33,16,LOR-0090-13.20,,US,2000,MR,2002,9230,2022,14120,,2002,10230,2008,9530,13764,12787,12/5/2003,,6,41,1,1,,4,12
