Project ID,Count ID,InternalProjectID,YEAR TYPE,StationID,Year,Actual AADT,Proj AADT,AADTDifference,AADT%Change,y
41-2-11378-IR71/US 30 interchange Modification,41-13961-,11378,1-Opening Year,,2000,"42,310","37,190","-5,120",-12.10%,1.14
41-2-11378-IR71/US 30 interchange Modification,41-13962-,11378,3-Design Year,,2020,"39,760","45,190","5,430",13.66%,0.88
41-3-11378-IR71/US 30 interchange Modification,41-13963-,11378,1-Opening Year,,2000,"15,780","12,920","-2,860",-18.12%,1.22
41-3-11378-IR71/US 30 interchange Modification,41-13964-,11378,3-Design Year,,2020,"15,630","17,390","1,760",11.26%,0.90
41-4-11378-IR71/US 30 interchange Modification,41-13965-,11378,1-Opening Year,,2000,"42,450","37,820","-4,630",-10.91%,1.12
41-4-11378-IR71/US 30 interchange Modification,41-13966-,11378,3-Design Year,,2020,"39,290","46,060","6,770",17.23%,0.85
41-5-11378-IR71/US 30 interchange Modification,41-13967-,11378,1-Opening Year,,2000,"16,530","16,430",-100,-0.60%,1.01
41-5-11378-IR71/US 30 interchange Modification,41-13968-,11378,3-Design Year,,2020,"18,210","22,090","3,880",21.31%,0.82
41-6-19055-TUS-0036-15.730,41-13969-,19055,1-Opening Year,,2000,"9,100","8,990",-110,-1.21%,1.01
41-6-19055-TUS-0036-15.730,41-13970-,19055,3-Design Year,,2020,"8,960","11,530","2,570",28.68%,0.78
41-7-11385-LOR-0090-13.20,41-13971-,11385,1-Opening Year,,2002,"62,330","70,120","7,790",12.50%,0.89
41-7-11385-LOR-0090-13.20,41-13972-,11385,3-Design Year,,2022,"59,970","94,850","34,880",58.16%,0.63
41-8-11385-LOR-0090-13.20,41-13973-,11385,1-Opening Year,,2002,"51,440","53,040","1,600",3.11%,0.97
41-8-11385-LOR-0090-13.20,41-13974-,11385,3-Design Year,,2022,"52,020","76,040","24,020",46.17%,0.68
41-9-11385-LOR-0090-13.20,41-13975-,11385,1-Opening Year,,2002,"50,470","51,350",880,1.74%,0.98
41-9-11385-LOR-0090-13.20,41-13976-,11385,3-Design Year,,2022,"53,590","73,820","20,230",37.75%,0.73
41-10-11385-LOR-0090-13.20,41-13977-,11385,1-Opening Year,,2002,"33,180","29,990","-3,190",-9.61%,1.11
41-10-11385-LOR-0090-13.20,41-13978-,11385,3-Design Year,,2022,"45,300","32,960","-12,340",-27.24%,1.37
41-11-11385-LOR-0090-13.20,41-13979-,11385,1-Opening Year,,2002,"21,910","23,090","1,180",5.39%,0.95
41-11-11385-LOR-0090-13.20,41-13980-,11385,3-Design Year,,2022,"18,020","24,320","6,300",34.96%,0.74
41-12-11385-LOR-0090-13.20,41-13981-,11385,1-Opening Year,,2002,"17,830","22,700","4,870",27.31%,0.79
41-12-11385-LOR-0090-13.20,41-13982-,11385,3-Design Year,,2022,"16,280","20,570","4,290",26.35%,0.79
41-13-11385-LOR-0090-13.20,41-13983-,11385,1-Opening Year,,2002,"27,280","25,670","-1,610",-5.90%,1.06
41-13-11385-LOR-0090-13.20,41-13984-,11385,3-Design Year,,2022,"27,460","33,470","6,010",21.89%,0.82
41-14-11385-LOR-0090-13.20,41-13985-,11385,1-Opening Year,,2002,"9,880","7,890","-1,990",-20.14%,1.25
41-14-11385-LOR-0090-13.20,41-13986-,11385,3-Design Year,,2022,"10,410","9,590",-820,-7.88%,1.09
41-15-11385-LOR-0090-13.20,41-13987-,11385,1-Opening Year,,2002,"22,630","19,610","-3,020",-13.35%,1.15
41-15-11385-LOR-0090-13.20,41-13988-,11385,3-Design Year,,2022,"24,350","26,260","1,910",7.84%,0.93
41-16-11385-LOR-0090-13.20,41-13989-,11385,1-Opening Year,,2002,"10,230","9,230","-1,000",-9.78%,1.11
41-16-11385-LOR-0090-13.20,41-13990-,11385,3-Design Year,,2022,"9,530","14,120","4,590",48.16%,0.67
41-17-12769-PIC-22-16.98,41-13991-,12769,1-Opening Year,,2002,"8,490","9,640","1,150",13.55%,0.88
41-17-12769-PIC-22-16.98,41-13992-,12769,3-Design Year,,2022,"9,210","10,930","1,720",18.68%,0.84
41-18-19578-TUS-0250-17.150,41-13993-,19578,1-Opening Year,,2003,"21,000","21,450",450,2.14%,0.98
41-18-19578-TUS-0250-17.150,41-13994-,19578,3-Design Year,,2023,"19,760","30,190","10,430",52.78%,0.65
41-19-19578-TUS-0250-17.150,41-13995-,19578,1-Opening Year,,2003,"20,450","20,770",320,1.56%,0.98
41-19-19578-TUS-0250-17.150,41-13996-,19578,3-Design Year,,2023,"18,370","29,380","11,010",59.93%,0.63
41-20-19578-TUS-0250-17.150,41-13997-,19578,1-Opening Year,,2003,"7,420","9,350","1,930",26.01%,0.79
41-20-19578-TUS-0250-17.150,41-13998-,19578,3-Design Year,,2023,"5,940","12,180","6,240",105.05%,0.49
41-21-19578-TUS-0250-17.150,41-13999-,19578,1-Opening Year,,2003,"12,670","10,320","-2,350",-18.55%,1.23
41-21-19578-TUS-0250-17.150,41-14000-,19578,3-Design Year,,2023,"9,420","13,370","3,950",41.93%,0.70
41-22-19578-TUS-0250-17.150,41-14001-,19578,1-Opening Year,,2003,"12,670","11,850",-820,-6.47%,1.07
41-22-19578-TUS-0250-17.150,41-14002-,19578,3-Design Year,,2023,"9,420","14,800","5,380",57.11%,0.64
41-23-19578-TUS-0250-17.150,41-14003-,19578,1-Opening Year,,2003,"3,090","3,290",200,6.47%,0.94
41-23-19578-TUS-0250-17.150,41-14004-,19578,3-Design Year,,2023,"2,430","5,760","3,330",137.04%,0.42
41-24-75086-BEL-70-3.45,41-14005-,75086,1-Opening Year,,2003,"26,700","27,070",370,1.39%,0.99
41-24-75086-BEL-70-3.45,41-14006-,75086,3-Design Year,,2023,"28,740","34,380","5,640",19.62%,0.84
41-25-25377-LUC-24-3.60,41-14007-,25377,1-Opening Year,,2003,"11,000","11,540",540,4.91%,0.95
41-25-25377-LUC-24-3.60,41-14008-,25377,3-Design Year,,2023,"11,210","18,800","7,590",67.71%,0.60
41-26-25377-LUC-24-3.60,41-14009-,25377,1-Opening Year,,2003,"11,670","10,740",-930,-7.97%,1.09
41-26-25377-LUC-24-3.60,41-14010-,25377,3-Design Year,,2023,"10,810","17,690","6,880",63.64%,0.61
41-27-18473-MRG-37-8.23,41-14011-,18473,1-Opening Year,,2003,"3,840","4,800",960,25.00%,0.80
41-27-18473-MRG-37-8.23,41-14012-,18473,3-Design Year,,2023,"4,090","6,790","2,700",66.01%,0.60
41-28-25377-LUC-24-3.60,41-14013-,25377,1-Opening Year,,2003,"1,440","1,020",-420,-29.17%,1.41
41-28-25377-LUC-24-3.60,41-14014-,25377,3-Design Year,,2023,"1,690","1,370",-320,-18.93%,1.23
41-29-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),41-14015-,21452,1-Opening Year,,2003,"18,550","21,860","3,310",17.84%,0.85
41-29-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),41-14016-,21452,3-Design Year,,2023,"19,000","30,140","11,140",58.63%,0.63
41-30-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),41-14017-,21452,1-Opening Year,,2003,"41,360","42,070",710,1.72%,0.98
41-30-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),41-14018-,21452,3-Design Year,,2023,"36,900","59,890","22,990",62.30%,0.62
41-31-16964-MOT-675-3.99,41-14019-,16964,1-Opening Year,,2003,"67,020","62,530","-4,490",-6.70%,1.07
41-31-16964-MOT-675-3.99,41-14020-,16964,3-Design Year,,2023,"66,090","83,390","17,300",26.18%,0.79
41-32-22788-STA-77-8.14,41-14021-,22788,1-Opening Year,,2003,"34,920","46,460","11,540",33.05%,0.75
41-32-22788-STA-77-8.14,41-14022-,22788,3-Design Year,,2023,"34,230","55,790","21,560",62.99%,0.61
41-33-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),41-14023-,21452,1-Opening Year,,2003,"22,060","23,580","1,520",6.89%,0.94
