AdjustedForecast,BriefDescription,Count,County,ForecastMethodology,ForecastYear,ForecastYearType,FunctionalClass,ImprovementType,InternalProjectID,Length_miles,SegmentDescription,SegmentID,State,TollType,TrafficForecast,YearForecastProduced,Year_ofObservation,main_ProjectInformation_ProjectID,main_TrafficForecast_ProjectID,Error,PercentError,AbsPE
5300,,3700,Washington,1,2010,1,3,12,1663,,,,58,1,5300,2007,2010,58-6231-1663-,6231,-1600,-30.18867925,30.18867925
7400,,5500,Washington,1,2010,1,3,12,1663,,,,58,1,7400,2007,2010,58-6232-1663-,6232,-1900,-25.67567568,25.67567568
4150,,2800,Washington,1,2010,1,3,12,1663,,,,58,1,4150,2007,2010,58-6233-1663-,6233,-1350,-32.53012048,32.53012048
3700,,2500,Washington,1,2010,1,3,12,1663,,,,58,1,3700,2007,2010,58-6234-1663-,6234,-1200,-32.43243243,32.43243243
4500,,3500,Washington,1,2010,1,3,12,1663,,,,58,1,4500,2007,2010,58-6235-1663-,6235,-1000,-22.22222222,22.22222222
18800,,14000,Washington,1,2007,1,4,12,2015,,,,58,1,18800,2005,2007,58-6236-2015-,6236,-4800,-25.53191489,25.53191489
18200,,14700,Washington,1,2007,1,4,12,2015,,,,58,1,18200,2005,2007,58-6237-2015-,6237,-3500,-19.23076923,19.23076923
19600,,16900,Washington,1,2007,1,4,12,2015,,,,58,1,19600,2005,2007,58-6238-2015-,6238,-2700,-13.7755102,13.7755102
1300,,1900,Washington,1,2007,1,8,12,2126,,,,58,1,1300,2006,2007,58-6239-2126-,6239,600,46.15384615,46.15384615
1300,,1000,Washington,1,2010,1,5,12,2486,,,,58,1,1300,2007,2010,58-6240-2486-,6240,-300,-23.07692308,23.07692308
4500,,5100,Washington,1,2007,1,3,12,2126,,,,58,1,4500,2006,2007,58-6241-2126-,6241,600,13.33333333,13.33333333
1600,,1800,Washington,1,2007,1,8,12,2126,,,,58,1,1600,2006,2007,58-6242-2126-,6242,200,12.5,12.5
1700,,1900,Washington,1,2007,1,8,12,2126,,,,58,1,1700,2006,2007,58-6243-2126-,6243,200,11.76470588,11.76470588
1800,,2000,Washington,1,2007,1,8,12,2126,,,,58,1,1800,2006,2007,58-6244-2126-,6244,200,11.11111111,11.11111111
6400,,6700,Washington,1,2007,1,3,12,2126,,,,58,1,6400,2006,2007,58-6245-2126-,6245,300,4.6875,4.6875
1800,,1700,Washington,1,2007,1,8,12,2126,,,,58,1,1800,2006,2007,58-6246-2126-,6246,-100,-5.555555556,5.555555556
1800,,1900,Washington,1,2007,1,8,12,2126,,,,58,1,1800,2006,2007,58-6247-2126-,6247,100,5.555555556,5.555555556
1700,,1700,Washington,1,2007,1,8,12,2126,,,,58,1,1700,2006,2007,58-6248-2126-,6248,0,0,0
1600,,1600,Washington,1,2007,1,8,12,2126,,,,58,1,1600,2006,2007,58-6249-2126-,6249,0,0,0
3800,,3800,Waukesha,1,2009,1,4,12,1745,,,,58,1,3800,2007,2009,58-6250-1745-,6250,0,0,0
4600,,4400,Waukesha,1,2009,1,4,12,1745,,,,58,1,4600,2007,2009,58-6251-1745-,6251,-200,-4.347826087,4.347826087
