Country,Location,Project,Section,Accuracy1,AMCAccuracy1,Zero,Main1,AMain1,Count1,ACount1,Yforecast,Yestimate,Yconstruct,Ytarget1,Yopen,Mopen,Ycount1
UK,A5,Weeford - Fazeley,A5 Improvements,-0.03,-0.03,,21500,21823,20850,21163,2002,,2001,2005,2005,10,2005
UK,A5,Weeford - Fazeley,A5 Old Route,0.45,0.45,,1450,1472,2100,2132,2002,,2001,2005,2005,10,2005
UK,A5,Weeford - Fazeley,A38 Northern Arm,0.27,0.27,,32000,32480,40500,41108,2002,,2001,2005,2005,10,2005
UK,A5,Weeford - Fazeley,A38 Southern Arm,0.03,0.03,,37000,37555,38000,38570,2002,,2001,2005,2005,10,2005
UK,A5,Weeford - Fazeley,A5 Western Arm,-0.09,-0.09,,22500,22838,20500,20808,2002,,2001,2005,2005,10,2005
UK,A5,Weeford - Fazeley,Existing stretches total,0.09,0.09,,92950,94344,101100,102617,2002,,2001,2005,2005,10,2005
UK,A5,Weeford - Fazeley,New project total,-0.03,-0.03,,21500,21823,20850,21163,2002,,2001,2005,2005,10,2005
UK,A5,Weeford - Fazeley,New network total,0.07,0.07,,114450,116167,121950,123779,2002,,2001,2004,2005,10,2005
UK,A6,Alvaston Bypass,Shardlow Road,2.64,2.54,,4200,4263,15300,15074,1999,,2002,2003,2003,12,2005
UK,A6,Alvaston Bypass,Bypass,-0.29,-0.31,,27700,28116,19750,19458,1999,,2002,2003,2003,12,2005
UK,A6,Alvaston Bypass,Existing stretches total,2.64,2.54,,4200,4263,15300,15074,1999,,2002,2003,2003,12,2005
UK,A6,Alvaston Bypass,New project total,-0.29,-0.31,,27700,28116,19750,19458,1999,,2002,2003,2003,12,2005
UK,A6,Alvaston Bypass,New network total,0.10,0.07,,31900,32379,35050,34532,1999,,2002,2003,2003,12,
UK,A6,Great Glen Bypass,Old A6,-0.24,-0.25,,,,,,1991,,2002,,2003,2,
UK,A6,Great Glen Bypass,A6 Bypass,-0.27,-0.29,,,,,,1991,,2001,,2003,2,
UK,A6,Great Glen Bypass,Existing stretches total,-0.24,-0.25,,,,,,1991,,2001,,2003,2,
UK,A6,Great Glen Bypass,New project total,-0.27,-0.29,,,,,,1991,,2001,,2003,2,
UK,A6,Great Glen Bypass,New network total,-0.27,-0.28,,,,,,1991,,2001,,2003,2,
UK,A6,Rushden - Higham Ferres,"A5028 (old A6), S of Rushden",0.39,0.39,,5700,5700,7900,7900,1990,,2002,,2003,8,2004
UK,A6,Rushden - Higham Ferres,"A5028 (old A6), N of Rushden",0.84,0.84,,11600,11600,21300,21300,1990,,2002,,2003,8,2004
UK,A6,Rushden - Higham Ferres,"A5028 (old A6), N of Higham Ferrers",1.83,1.83,,4000,4000,11300,11300,1990,,2002,,2003,8,2004
UK,A6,Rushden - Higham Ferres,B645 Kimbolton Rd,0.96,0.96,,2800,2800,5500,5500,1990,,2002,,2003,8,2004
UK,A6,Rushden - Higham Ferres,"A6 bypass, S of A45",0.60,0.60,,7300,7300,11700,11700,1990,,2002,,2003,8,2004
UK,A6,Rushden - Higham Ferres,Existing stretches total,0.91,0.91,,24100,24100,46000,46000,1990,,2002,,2003,8,2004
UK,A6,Rushden - Higham Ferres,New project total,0.60,0.60,,7300,7300,11700,11700,1990,,2002,,2003,8,2004
UK,A6,Rushden - Higham Ferres,New network total,0.05,0.75,,31400,18900,33000,33000,1990,,2002,,2003,8,2004
UK,A11,Roudham Heath - Attleborough,A11 Hargham,0.55,0.34,,18200,21000,28200,28200,1991,,2001,1996,2003,3,2004
UK,A11,Roudham Heath - Attleborough,A11 Attleborough Bypass (West of B1077),0.58,0.36,,15600,18100,24600,24600,1991,,,1996,2003,3,2004
UK,A11,Roudham Heath - Attleborough,A11 Roudham Heath,0.55,0.34,,16800,19500,26100,26100,1991,,,1996,2003,3,2004
UK,A11,Roudham Heath - Attleborough,"B1077 London Rd (East of A11, West of Fen St)",0.31,0.18,,3600,4000,4700,4700,1991,,,1996,2003,3,2004
UK,A11,Roudham Heath - Attleborough,Hargham Road,0.42,0.13,,1200,1500,1700,1700,1991,,,1996,2003,3,2004
UK,A11,Roudham Heath - Attleborough,Chalk Lane,0.00,-0.16,,800,950,800,800,1991,,,1996,2003,3,2004
UK,A11,Roudham Heath - Attleborough,"Heath Rd, just south of Snetterton Jn (Nth of Ind.",0.00,-0.13,,2300,2650,2300,2300,1991,,,1996,2003,3,2004
UK,A11,Roudham Heath - Attleborough,Harling Road,0.29,0.11,,2800,3250,3600,3600,1991,,,1996,2003,3,2004
