FunctionalClass,Forecast_Method,count,mean,std,min,5%,50%,95%,max,MAPE
Interstate,Traffic Count Trend,9,-14.36,10.94,-34.44,-32.42,-12.37,-2.76,-1.69,14.36
Interstate,Regional,5,-13.47,20.23,-47.54,-40.70,-6.23,3.35,5.66,15.73
Interstate,5,2,-41.62,30.22,-63.00,-60.86,-41.62,-22.39,-20.25,41.62
Interstate,6,171,-7.86,12.16,-44.67,-27.62,-6.36,7.36,41.59,10.58
Principle Arterial,Traffic Count Trend,82,-4.81,19.10,-46.21,-32.00,-6.49,20.09,93.38,14.18
,Population Growth Rate,1,4.40,,4.40,4.40,4.40,4.40,4.40,4.40
,Regional,90,-6.42,20.86,-61.64,-31.60,-9.22,33.80,71.67,16.57
,Professional Judgement,64,-8.15,19.86,-86.65,-34.25,-9.34,18.50,47.73,16.30
,Unknown Methodology,166,-11.10,14.80,-65.08,-36.88,-10.88,10.72,29.91,14.13
Minor Arterial,Traffic Count Trend,34,-11.48,23.56,-57.14,-38.90,-16.09,31.07,55.84,21.22
,Population Growth Rate,3,-5.45,16.47,-15.09,-15.07,-14.81,10.73,13.57,14.49
,Regional,31,-4.08,26.71,-55.17,-35.09,-3.96,38.26,90.74,17.56
,Professional Judgement,17,-9.64,24.81,-64.41,-52.88,-4.62,23.47,38.46,18.13
,Unknown Methodology,101,-6.85,20.34,-50.50,-34.55,-7.48,20.35,118.36,14.74
5,1,16,-10.54,17.17,-45.45,-40.69,-8.45,11.46,11.54,15.25
5,2,1,14.02,,14.02,14.02,14.02,14.02,14.02,14.02
5,4,11,-28.23,26.74,-85.86,-71.82,-21.19,0.96,5.88,29.30
5,6,117,-11.57,19.04,-68.82,-42.14,-10.25,12.44,83.95,16.53
6,1,1,-32.00,,-32.00,-32.00,-32.00,-32.00,-32.00,32.00
6,4,1,-44.68,,-44.68,-44.68,-44.68,-44.68,-44.68,44.68
6,6,8,-13.43,15.14,-29.46,-29.34,-12.54,8.50,15.38,17.27
8,1,110,9.90,39.48,-77.57,-44.19,5.91,72.90,147.37,30.06
8,2,2,-8.67,11.77,-17.00,-16.16,-8.67,-1.18,-0.35,8.67
8,4,41,-9.27,14.70,-46.27,-32.23,-7.41,11.65,27.15,13.19
8,5,94,-15.50,19.75,-83.42,-44.75,-14.73,9.60,65.64,19.67
8,6,113,15.18,39.23,-37.93,-23.68,5.05,66.87,227.60,24.38
