ProjectID,County,GEOID2015
41-2-11378-IR71/US 30 interchange Modification,Richland,39139
41-3-11378-IR71/US 30 interchange Modification,Richland,39139
41-4-11378-IR71/US 30 interchange Modification,Richland,39139
41-5-11378-IR71/US 30 interchange Modification,Richland,39139
41-6-19055-TUS-0036-15.730,Tuscarawas,39157
41-7-11385-LOR-0090-13.20,Lorain,39093
41-8-11385-LOR-0090-13.20,Lorain,39093
41-9-11385-LOR-0090-13.20,Lorain,39093
41-10-11385-LOR-0090-13.20,Lorain,39093
41-11-11385-LOR-0090-13.20,Lorain,39093
41-12-11385-LOR-0090-13.20,Lorain,39093
41-13-11385-LOR-0090-13.20,Lorain,39093
41-14-11385-LOR-0090-13.20,Lorain,39093
41-15-11385-LOR-0090-13.20,Lorain,39093
41-16-11385-LOR-0090-13.20,Lorain,39093
41-17-12769-PIC-22-16.98,Pickaway,39129
41-18-19578-TUS-0250-17.150,Tuscarawas,39157
41-19-19578-TUS-0250-17.150,Tuscarawas,39157
41-20-19578-TUS-0250-17.150,Tuscarawas,39157
41-21-19578-TUS-0250-17.150,Tuscarawas,39157
41-22-19578-TUS-0250-17.150,Tuscarawas,39157
41-23-19578-TUS-0250-17.150,Tuscarawas,39157
41-24-75086-BEL-70-3.45,Belmont,39013
41-25-25377-LUC-24-3.60,Lucas,39095
41-26-25377-LUC-24-3.60,Lucas,39095
41-27-18473-MRG-37-8.23,Morgan,39115
41-28-25377-LUC-24-3.60,Lucas,39095
41-29-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),Tuscarawas,39157
41-30-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),Tuscarawas,39157
41-31-16964-MOT-675-3.99,Montgomery,39113
41-32-22788-STA-77-8.14,Stark,39151
41-33-21452-TUS-77-20.73 (TUS-250-11.88 TO 12.79),Tuscarawas,39157
41-34-23675-MAH-680-9.92,Mahoning,39099
41-35-20996-TUS-77-7.55,Tuscarawas,39157
41-36-23956-OTT-2-28.47,Ottawa,39123
41-37-24257-CLA-68-0.08,Clark,39023
41-38-21582-BEL-7-6.11,Belmont,39013
41-39-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,Stark,39151
41-40-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,Stark,39151
41-41-24316-STA-183/30-0.00/0.68/2.89/5.88/31.96,Stark,39151
41-42-23569-OTT-2-1.44,Ottawa,39123
41-43-23569-OTT-2-1.44,Ottawa,39123
41-44-22398-SAN-20-11.43,Sandusky,39143
41-45-22398-SAN-20-11.43,Sandusky,39143
41-46-24178-ATB-6/6DA/7/7/193-VAR,Ashtabula,39007
41-47-24178-ATB-6/6DA/7/7/193-VAR,Ashtabula,39007
41-48-24178-ATB-6/6DA/7/7/193-VAR,Ashtabula,39007
